Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/04/2025,08/04/2025,CHIPOTLE 2244,Food & Drink,Sale,-15.38,
08/06/2025,08/06/2025,SHELL OIL 574,Gas,Sale,-67.64,
08/07/2025,08/07/2025,NETFLIX.COM,Entertainment,Sale,-18.50,
08/12/2025,08/12/2025,TRADER JOE'S #451,Groceries,Sale,-52.87,
08/13/2025,08/13/2025,AMZN Mktp US*2K4L,Shopping,Sale,-67.69,
08/15/2025,08/15/2025,CHIPOTLE 2244,Food & Drink,Sale,-13.42,
08/15/2025,08/15/2025,NETFLIX.COM,Entertainment,Sale,-19.08,
08/15/2025,08/15/2025,PAYMENT - THANK YOU,Payment,Payment,711.96,
08/17/2025,08/17/2025,SHELL OIL 574,Gas,Sale,-46.54,
08/23/2025,08/23/2025,SHELL OIL 574,Gas,Sale,-47.53,
08/23/2025,08/23/2025,TRADER JOE'S #451,Groceries,Sale,-97.91,
08/27/2025,08/27/2025,SHELL OIL 574,Gas,Sale,-40.05,
09/02/2025,09/02/2025,AMZN Mktp US*2K4L,Shopping,Sale,-146.33,
09/03/2025,09/03/2025,AMZN Mktp US*2K4L,Shopping,Sale,-57.18,
09/04/2025,09/04/2025,CHIPOTLE 2244,Food & Drink,Sale,-11.92,
09/04/2025,09/04/2025,TRADER JOE'S #451,Groceries,Sale,-128.66,
09/06/2025,09/06/2025,AMZN Mktp US*2K4L,Shopping,Sale,-83.45,
09/09/2025,09/09/2025,CHIPOTLE 2244,Food & Drink,Sale,-11.44,
09/09/2025,09/09/2025,SHELL OIL 574,Gas,Sale,-59.21,
09/13/2025,09/13/2025,NETFLIX.COM,Entertainment,Sale,-17.05,
09/15/2025,09/15/2025,PAYMENT - THANK YOU,Payment,Payment,408.42,
09/17/2025,09/17/2025,NETFLIX.COM,Entertainment,Sale,-19.99,
09/23/2025,09/23/2025,NETFLIX.COM,Entertainment,Sale,-18.29,
09/27/2025,09/27/2025,SHELL OIL 574,Gas,Sale,-47.20,
10/02/2025,10/02/2025,SHELL OIL 574,Gas,Sale,-50.97,
10/03/2025,10/03/2025,CHIPOTLE 2244,Food & Drink,Sale,-13.91,
10/04/2025,10/04/2025,CHIPOTLE 2244,Food & Drink,Sale,-15.99,
10/04/2025,10/04/2025,NETFLIX.COM,Entertainment,Sale,-22.78,
10/09/2025,10/09/2025,NETFLIX.COM,Entertainment,Sale,-16.35,
10/09/2025,10/09/2025,SHELL OIL 574,Gas,Sale,-54.38,
10/10/2025,10/10/2025,AMZN Mktp US*2K4L,Shopping,Sale,-117.62,
10/15/2025,10/15/2025,PAYMENT - THANK YOU,Payment,Payment,544.98,
10/17/2025,10/17/2025,AMZN Mktp US*2K4L,Shopping,Sale,-139.60,
10/18/2025,10/18/2025,SHELL OIL 574,Gas,Sale,-47.04,
10/26/2025,10/26/2025,TRADER JOE'S #451,Groceries,Sale,-63.45,
11/01/2025,11/01/2025,CHIPOTLE 2244,Food & Drink,Sale,-11.20,
11/01/2025,11/01/2025,TRADER JOE'S #451,Groceries,Sale,-129.50,
11/05/2025,11/05/2025,AMZN Mktp US*2K4L,Shopping,Sale,-79.99,
11/07/2025,11/07/2025,AMZN Mktp US*2K4L,Shopping,Sale,-151.82,
11/07/2025,11/07/2025,NETFLIX.COM,Entertainment,Sale,-22.88,
11/09/2025,11/09/2025,TRADER JOE'S #451,Groceries,Sale,-71.23,
11/15/2025,11/15/2025,PAYMENT - THANK YOU,Payment,Payment,573.78,
11/15/2025,11/15/2025,SHELL OIL 574,Gas,Sale,-35.83,
11/17/2025,11/17/2025,NETFLIX.COM,Entertainment,Sale,-18.15,
11/17/2025,11/17/2025,SHELL OIL 574,Gas,Sale,-49.09,
11/22/2025,11/22/2025,NETFLIX.COM,Entertainment,Sale,-19.47,
11/23/2025,11/23/2025,AMZN Mktp US*2K4L,Shopping,Sale,-134.45,
11/27/2025,11/27/2025,NETFLIX.COM,Entertainment,Sale,-22.22,
12/01/2025,12/01/2025,AMZN Mktp US*2K4L,Shopping,Sale,-56.22,
12/02/2025,12/02/2025,AMZN Mktp US*2K4L,Shopping,Sale,-174.23,
12/03/2025,12/03/2025,SHELL OIL 574,Gas,Sale,-55.95,
12/06/2025,12/06/2025,NETFLIX.COM,Entertainment,Sale,-17.10,
12/10/2025,12/10/2025,NETFLIX.COM,Entertainment,Sale,-16.32,
12/11/2025,12/11/2025,AMZN Mktp US*2K4L,Shopping,Sale,-175.40,
12/13/2025,12/13/2025,SHELL OIL 574,Gas,Sale,-63.34,
12/14/2025,12/14/2025,SHELL OIL 574,Gas,Sale,-37.88,
12/15/2025,12/15/2025,PAYMENT - THANK YOU,Payment,Payment,554.77,
12/18/2025,12/18/2025,AMZN Mktp US*2K4L,Shopping,Sale,-66.35,
12/20/2025,12/20/2025,NETFLIX.COM,Entertainment,Sale,-17.70,
12/21/2025,12/21/2025,CHIPOTLE 2244,Food & Drink,Sale,-19.15,
12/27/2025,12/27/2025,TRADER JOE'S #451,Groceries,Sale,-51.68,
01/01/2026,01/01/2026,CHIPOTLE 2244,Food & Drink,Sale,-12.00,
01/05/2026,01/05/2026,SHELL OIL 574,Gas,Sale,-46.38,
01/06/2026,01/06/2026,TRADER JOE'S #451,Groceries,Sale,-40.10,
01/08/2026,01/08/2026,CHIPOTLE 2244,Food & Drink,Sale,-16.55,
01/09/2026,01/09/2026,TRADER JOE'S #451,Groceries,Sale,-85.25,
01/13/2026,01/13/2026,NETFLIX.COM,Entertainment,Sale,-16.16,
01/13/2026,01/13/2026,TRADER JOE'S #451,Groceries,Sale,-47.55,
01/15/2026,01/15/2026,PAYMENT - THANK YOU,Payment,Payment,728.77,
01/19/2026,01/19/2026,AMZN Mktp US*2K4L,Shopping,Sale,-172.88,
01/21/2026,01/21/2026,AMZN Mktp US*2K4L,Shopping,Sale,-51.11,
01/28/2026,01/28/2026,AMZN Mktp US*2K4L,Shopping,Sale,-138.09,
02/03/2026,02/03/2026,NETFLIX.COM,Entertainment,Sale,-16.22,
02/05/2026,02/05/2026,NETFLIX.COM,Entertainment,Sale,-20.46,
02/05/2026,02/05/2026,TRADER JOE'S #451,Groceries,Sale,-43.94,
02/13/2026,02/13/2026,AMZN Mktp US*2K4L,Shopping,Sale,-152.42,
02/15/2026,02/15/2026,PAYMENT - THANK YOU,Payment,Payment,679.26,
02/16/2026,02/16/2026,TRADER JOE'S #451,Groceries,Sale,-53.45,
02/17/2026,02/17/2026,CHIPOTLE 2244,Food & Drink,Sale,-12.53,
02/17/2026,02/17/2026,CHIPOTLE 2244,Food & Drink,Sale,-19.28,
02/19/2026,02/19/2026,CHIPOTLE 2244,Food & Drink,Sale,-20.18,
02/24/2026,02/24/2026,CHIPOTLE 2244,Food & Drink,Sale,-18.71,
02/24/2026,02/24/2026,TRADER JOE'S #451,Groceries,Sale,-95.68,
02/25/2026,02/25/2026,TRADER JOE'S #451,Groceries,Sale,-69.35,
02/27/2026,02/27/2026,SHELL OIL 574,Gas,Sale,-56.71,
03/02/2026,03/02/2026,AMZN Mktp US*2K4L,Shopping,Sale,-115.65,
03/03/2026,03/03/2026,AMZN Mktp US*2K4L,Shopping,Sale,-92.47,
03/08/2026,03/08/2026,NETFLIX.COM,Entertainment,Sale,-21.18,
03/09/2026,03/09/2026,NETFLIX.COM,Entertainment,Sale,-21.66,
03/15/2026,03/15/2026,CHIPOTLE 2244,Food & Drink,Sale,-19.77,
03/15/2026,03/15/2026,PAYMENT - THANK YOU,Payment,Payment,721.38,
03/16/2026,03/16/2026,AMZN Mktp US*2K4L,Shopping,Sale,-154.05,
03/16/2026,03/16/2026,CHIPOTLE 2244,Food & Drink,Sale,-13.90,
03/21/2026,03/21/2026,TRADER JOE'S #451,Groceries,Sale,-87.83,
03/22/2026,03/22/2026,AMZN Mktp US*2K4L,Shopping,Sale,-60.27,
03/22/2026,03/22/2026,SHELL OIL 574,Gas,Sale,-50.94,
03/24/2026,03/24/2026,NETFLIX.COM,Entertainment,Sale,-21.30,
03/28/2026,03/28/2026,NETFLIX.COM,Entertainment,Sale,-17.86,
04/05/2026,04/05/2026,CHIPOTLE 2244,Food & Drink,Sale,-11.14,
04/10/2026,04/10/2026,AMZN Mktp US*2K4L,Shopping,Sale,-90.06,
04/10/2026,04/10/2026,AMZN Mktp US*2K4L,Shopping,Sale,-131.09,
04/10/2026,04/10/2026,CHIPOTLE 2244,Food & Drink,Sale,-17.83,
04/15/2026,04/15/2026,AMZN Mktp US*2K4L,Shopping,Sale,-140.88,
04/15/2026,04/15/2026,PAYMENT - THANK YOU,Payment,Payment,889.06,
04/16/2026,04/16/2026,SHELL OIL 574,Gas,Sale,-41.68,
04/18/2026,04/18/2026,AMZN Mktp US*2K4L,Shopping,Sale,-45.47,
04/20/2026,04/20/2026,TRADER JOE'S #451,Groceries,Sale,-53.27,
04/21/2026,04/21/2026,CHIPOTLE 2244,Food & Drink,Sale,-19.18,
04/23/2026,04/23/2026,NETFLIX.COM,Entertainment,Sale,-17.52,
05/01/2026,05/01/2026,TRADER JOE'S #451,Groceries,Sale,-66.06,
05/03/2026,05/03/2026,CHIPOTLE 2244,Food & Drink,Sale,-17.40,
05/03/2026,05/03/2026,TRADER JOE'S #451,Groceries,Sale,-113.79,
05/05/2026,05/05/2026,CHIPOTLE 2244,Food & Drink,Sale,-19.22,
05/06/2026,05/06/2026,NETFLIX.COM,Entertainment,Sale,-16.03,
05/08/2026,05/08/2026,NETFLIX.COM,Entertainment,Sale,-19.49,
05/09/2026,05/09/2026,SHELL OIL 574,Gas,Sale,-63.93,
05/10/2026,05/10/2026,AMZN Mktp US*2K4L,Shopping,Sale,-134.17,
05/11/2026,05/11/2026,AMZN Mktp US*2K4L,Shopping,Sale,-32.31,
05/12/2026,05/12/2026,SHELL OIL 574,Gas,Sale,-36.77,
05/13/2026,05/13/2026,TRADER JOE'S #451,Groceries,Sale,-58.89,
05/14/2026,05/14/2026,AMZN Mktp US*2K4L,Shopping,Sale,-69.79,
05/15/2026,05/15/2026,PAYMENT - THANK YOU,Payment,Payment,565.66,
05/15/2026,05/15/2026,TRADER JOE'S #451,Groceries,Sale,-129.46,
05/16/2026,05/16/2026,NETFLIX.COM,Entertainment,Sale,-18.76,
05/22/2026,05/22/2026,AMZN Mktp US*2K4L,Shopping,Sale,-87.73,
05/27/2026,05/27/2026,SHELL OIL 574,Gas,Sale,-54.74,
06/04/2026,06/04/2026,SHELL OIL 574,Gas,Sale,-33.86,
06/07/2026,06/07/2026,TRADER JOE'S #451,Groceries,Sale,-104.17,
06/08/2026,06/08/2026,NETFLIX.COM,Entertainment,Sale,-22.80,
06/09/2026,06/09/2026,CHIPOTLE 2244,Food & Drink,Sale,-15.09,
06/13/2026,06/13/2026,CHIPOTLE 2244,Food & Drink,Sale,-15.29,
06/13/2026,06/13/2026,TRADER JOE'S #451,Groceries,Sale,-50.80,
06/14/2026,06/14/2026,AMZN Mktp US*2K4L,Shopping,Sale,-160.56,
06/14/2026,06/14/2026,NETFLIX.COM,Entertainment,Sale,-19.58,
06/14/2026,06/14/2026,SHELL OIL 574,Gas,Sale,-59.20,
06/15/2026,06/15/2026,PAYMENT - THANK YOU,Payment,Payment,805.98,
06/21/2026,06/21/2026,NETFLIX.COM,Entertainment,Sale,-22.55,
06/25/2026,06/25/2026,AMZN Mktp US*2K4L,Shopping,Sale,-74.72,
06/25/2026,06/25/2026,TRADER JOE'S #451,Groceries,Sale,-70.44,
06/28/2026,06/28/2026,CHIPOTLE 2244,Food & Drink,Sale,-17.48,
06/28/2026,06/28/2026,SHELL OIL 574,Gas,Sale,-33.74,
07/07/2026,07/07/2026,AMZN Mktp US*2K4L,Shopping,Sale,-96.10,
07/09/2026,07/09/2026,SHELL OIL 574,Gas,Sale,-46.62,
07/10/2026,07/10/2026,NETFLIX.COM,Entertainment,Sale,-19.38,
07/10/2026,07/10/2026,SHELL OIL 574,Gas,Sale,-41.21,
07/15/2026,07/15/2026,PAYMENT - THANK YOU,Payment,Payment,805.91,
07/16/2026,07/16/2026,CHIPOTLE 2244,Food & Drink,Sale,-11.54,
07/16/2026,07/16/2026,CHIPOTLE 2244,Food & Drink,Sale,-15.56,
07/18/2026,07/18/2026,CHIPOTLE 2244,Food & Drink,Sale,-12.40,
07/18/2026,07/18/2026,TRADER JOE'S #451,Groceries,Sale,-89.43,
07/20/2026,07/20/2026,TRADER JOE'S #451,Groceries,Sale,-107.74,
07/21/2026,07/21/2026,AMZN Mktp US*2K4L,Shopping,Sale,-39.16,
07/22/2026,07/22/2026,NETFLIX.COM,Entertainment,Sale,-18.76,
07/24/2026,07/24/2026,SHELL OIL 574,Gas,Sale,-67.15,
07/24/2026,07/24/2026,TRADER JOE'S #451,Groceries,Sale,-47.25,
07/24/2026,07/24/2026,TRADER JOE'S #451,Groceries,Sale,-76.98,
08/01/2026,08/01/2026,NETFLIX.COM,Entertainment,Sale,-21.25,
08/02/2026,08/02/2026,CHIPOTLE 2244,Food & Drink,Sale,-12.92,
08/06/2026,08/06/2026,SHELL OIL 574,Gas,Sale,-40.61,
08/07/2026,08/07/2026,AMZN Mktp US*2K4L,Shopping,Sale,-57.40,
08/07/2026,08/07/2026,NETFLIX.COM,Entertainment,Sale,-18.68,
08/08/2026,08/08/2026,TRADER JOE'S #451,Groceries,Sale,-121.56,
08/09/2026,08/09/2026,CHIPOTLE 2244,Food & Drink,Sale,-13.12,
08/13/2026,08/13/2026,AMZN Mktp US*2K4L,Shopping,Sale,-22.43,
08/13/2026,08/13/2026,NETFLIX.COM,Entertainment,Sale,-19.99,
08/13/2026,08/13/2026,PAYMENT - THANK YOU,Payment,Payment,538.76,
08/13/2026,08/13/2026,TRADER JOE'S #451,Groceries,Sale,-80.50,
